titles,genres
Belladonna of Sadness,"['Animation', 'Drama', 'Fantasy']"
The Blood of Jesus,"['Drama', 'Fantasy']"
Red River,"['Action', 'Adventure', 'Romance']"
Battle Beyond the Stars,"['Action', 'Adventure', 'Comedy']"
The Night Flier,"['Fantasy', 'Horror', 'Mystery']"
Dreams,"['Drama', 'Fantasy']"
The Sandman,"['Comedy', 'Drama', 'Fantasy']"
Ladyhawke,"['Adventure', 'Drama', 'Fantasy']"
Taken,"['Action', 'Thriller']"
For Your Eyes Only,"['Action', 'Adventure', 'Sci-Fi']"
Into the West,"['Western', 'Adventure', 'Drama']"
Julia and Julia,"['Drama', 'Fantasy']"
Mistletoe Over Manhattan,"['Drama', 'Family', 'Fantasy']"
Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Family']"
Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']"
Road House,"['Action', 'Drama', 'Film-Noir']"
"Oh, God! You Devil","['Comedy', 'Fantasy']"
The Saratov Approach,"['Action', 'Drama']"
Prancer,"['Drama', 'Family', 'Fantasy']"
The Young Lions,"['Action', 'Drama', 'War']"
Pain & Gain,"['Action', 'Comedy', 'Crime']"
Thou Gild'st the Even,"['Drama', 'Fantasy', 'Romance']"
Jungle Book,"['Action', 'Adventure', 'Family']"
Thou Gild'st the Even,"['Drama', 'Fantasy', 'Romance']"
They Call Me Macho Woman!,"['Action', 'Comedy']"
Enter the Dragon,"['Action', 'Crime', 'Drama']"
Rooftops,"['Action', 'Drama']"
Guardians of the Galaxy,"['Action', 'Adventure', 'Sci-Fi']"
Colors,"['Action', 'Crime', 'Drama']"
Fulltime Killer,"['Action', 'Crime', 'Drama']"
Life of Pi,"['Adventure', 'Drama', 'Fantasy']"
The Raid: Redemption,"['Action', 'Thriller']"
Predator,"['Action', 'Horror', 'Sci-Fi']"
"Secretly, Greatly","['Action', 'Comedy', 'Drama']"
Shopping,"['Action', 'Crime', 'Drama']"
Fantasia,"['Animation', 'Family', 'Fantasy']"
